reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOGWzU6RFApdwlJf-P02uck3f-sPMfDtO7jLFkSYOx0tp1wmn5Y55AgLSsOzBO3R4GS-11RO_mZGcNW8XVg,devan sir,https://lh3.googleusercontent.com/a-/AOh14GgDj4QnjkwK9DK9U-ake3WCddBxjlTPPAmo1UMA,"Gak bisa kirim OTP, padahal henpon saya samsung a30s, udah pake android 10, kartu pake telkomsel, pulsa minimal 10rb, tinggal diperkotaan yg mana sinyalnya 4G+, pake wifi juga gak bisa kirim OTP, masih ada alasan kenapa gak bisa register",1,2,2.2.2,2020-07-22 13:28:57,"Halo Devan, Terima kasih atas tanggapan dan dukungan Anda kepada PeduliLindungi. Sempat terjadi masalah pada sistem OTP kami. Namun saat ini sudah kembali normal. Silakan install kembali aplikasi PeduliLindungi dan bergabung bersama melawan COVID-19. Terima kasih.",2020-07-23 10:22:06,most_relevant,com.telkom.tracencare
gp:AOqpTOHtgBV16_5maItYQkIOAMjQO3jpDS2xp36Om2it-K7u3xzvIysmor_GnpcP9hURAjVfBKCMJGP8VQTyGZQ,M. Firdan Juliansyah,https://lh3.googleusercontent.com/-O0KwmBYn9D8/AAAAAAAAAAI/AAAAAAAAVsA/AMZuuclWahFNZ0Afv-fHVqYDyMC0SMKtpQ/photo.jpg,"Ga bisa kirim OTP, katanya tidak ada koneksi internet, padahal sudah pakai wifi, loh! Apa gak support HP Asus Zenfone 2, kah aplikasinya? Disuruh update android di atas 5.0, udah mentok gak ada update-an lagi! Mohon dibikin untuk versi android 5.0 ke bawah, dong! Biar bisa pergi dadakan ini... duuh pemerintah kok gak nyadar sebagian masyarakat ada yang nggak bisa beli hape baru, dan hape lamanya ga bisa update sistem?",1,131,2.2.2,2020-06-29 07:42:12,"Halo, Firdan. 
Kami mohon maaf atas ketidaknyamanan Anda dalam menggunakan Aplikasi Peduli Lindungi. 
Mohon diupdate versi Android diatas 5.0 agar berjalan lancar pada perangkat.
Terima kasih atas tanggapan dan dukungan Anda terhadap Peduli Lindungi.",2020-06-29 06:19:31,most_relevant,com.telkom.tracencare
gp:AOqpTOGJmo2_D75s0LGlm0rI0EOeqawlb94SIGM6QDLXffgvRayZvMCL_A6CbxjzA7V3FPrKpBYT1EgeOun_kek,Hendra Munajah,https://lh3.googleusercontent.com/-qRkHzaujvk8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclWkHdqsUA3AWnto3Wo4_8GIKuWKg/photo.jpg,Beberapa kelurahan yang berada di wilayah kerja Puskesmas Karawang Kecamatan Sukabumi Kabupaten Sukabumi tempat saya berkerja tu masuk zona merah... Mohon perbaiki zona nya sesuai dengan kenyataan di lapangan... Saya sudah email... Mohon ditanggapi secepatnya... Terima Kasih...,1,34,2.2.2,2020-06-27 10:03:12,"Halo Hendra
Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya, agar dapat kami cross check datanya. Anda dapat melaporkan gangguan melalui email kami di pedulilindungi@mail.kominfo.go.id. Ayo bersama melawan Covid-19",2020-06-29 09:35:25,most_relevant,com.telkom.tracencare
gp:AOqpTOFPoP6zbyyNCFIZ6k2RH4ZhuvhOJiquY6GXtZn7dd7yX83qt85DPhzSz9CofrQOVHLNYXBXx_zhM1xppEY,Mbah Surat,https://lh3.googleusercontent.com/a-/AOh14GiytDtY1vkpmBD7F5oNqhRd5RgMriBph6aM0Hwx-A,"DATA DARIMANA KELURAHAN KAMI KOK BISA MASUK ZONA MERAH, SEDANGKAN TIDAK ADA BERITA ORANG MENINGGAL/POSITIF KENA COVID?? Ada 1org melahirkan di RS malah ketularan beberapa minggu yg lalu & pulang langsung karantina mandiri,bayi nya aman. Tidak ada berita org terkena covid, tdk ada jg test massal tetapi kok sudah masuk zona merah. Jangan"" ada org periksa sakit flu langsung di lebel kena covid, buruknya app pemerintah & mudah memberi lebel tetapi data tdk sesuai fakta, APP TAK BERGUNA!!",1,20,2.2.2,2020-07-14 13:28:14,"Halo, Mbah Surat. Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya ke email kami di pedulilindungi@mail.kominfo.go.id, agar dapat kami cross check datanya. Terima kasih",2020-07-15 02:53:11,most_relevant,com.telkom.tracencare
gp:AOqpTOE8SeSZA6_IjnBZU879vkSMiWmV-8PO3eSNcCRgPiJIKFzDX0cp1piKfTdjJcmifJ7sbVz9akYoVIyhSFI,nur aji saputra,https://lh3.googleusercontent.com/a-/AOh14Gj8tCQ1EctG6Vh_HHf3viSx8bw0TW5AtF4iZsu4,"Maaf sebelumnya adanya amplikasi ini apakah sudah memenuhi standar SNI dan akses semua di Indonesia dan juga perihal menggenapi kasus yang saat ini kita sedang hadapi. Bukannya kita saling menjatuhkan tolong lebih baik spesifik dalam tindakan tersebut karna ini membicarakan semua data yg apakah ini akurat apa tidak dan untuk amplikasi ini apakah sudah dalam persetujuan PRESIDEN dan juga PANGLIMA TNI . Karna titik koordinat lokasi yg sedang saat ini saya berada tepat di hutan"" . Tolong berfikir",1,13,2.2.2,2020-06-28 13:35:35,"Halo nur aji saputra,
Aplikasi ini Aplikasi Resmi dari Kominfo bekerja sama dengan Kementerian BUMN dan Penyelenggara Telekomunikasi. Terima kasih sudah peduli dengan aplikasi PedulilLindungi.  Saat ini  aplikasi PedulilLindungi sudah tersedia di PlayStore dan AppsStore. Mari lawan bersama Covid-19.",2020-06-30 01:53:49,most_relevant,com.telkom.tracencare
gp:AOqpTOGUsaM1ao1s1xKzmazL0_giaeqCS0Q3hEzW-F5D1I9-67bg_Uc8fYWVGwc2LFIXFquMMoEzj3BJJfdMZt4,Dimas Arif,https://lh3.googleusercontent.com/a-/AOh14GjFRUm0731sldM71ryGViWJ6y-XjU-3d3J8gPRHUQ,"Gimana mau melindungi, buka aplikasi aja gabisa katanya HP ANDA SUDAH DI ROOT. Padahal dari pertama kali beli hp gapernah root sama sekali. Jangan kalah dong sama aplikasi swasta yg udah canggih",1,1,2.2.2,2020-07-10 08:37:02,"Halo Dimas Arif, Kami mohon maaf atas ketidaknyamanan Anda dalam menggunakan Aplikasi Peduli Lindungi.
Demi keamanan penggunaan aplikasi ini, saat ini hanya pengguna Handphone yang tidak diroot saja yang dapat menggunakan aplikasi ini. Terima kasih atas tanggapan dan dukungan Anda terhadap Peduli Lindungi.",2020-07-13 14:22:14,most_relevant,com.telkom.tracencare
gp:AOqpTOFjsiSqFyfEvUQW_Ec3IUJSj8V6KVWXvHmKmH9AOULB7Lri-RyHLaZlQ_lxpz5H-FOr51Vdzgf6xLJ3gI8,Shinta Aura,https://lh3.googleusercontent.com/-U_3TWD5Pj_U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnqFxiPekoBGSzj5gLLNeVmlgGEzA/photo.jpg,"Masa gak bisa kirim OTP terus ada tulisan koneksi internet padahal internet lancar aja sinyalnya juga bagus tapi kok gak bisa kirim OTP sih apa karna hp saya Xiaomi note 2yah,emang hp saya jelek saya gak bisa beli hp baru masa gitu aja dipermasalahin",1,0,2.2.2,2020-07-04 02:41:37,"Halo, Shinta.
Kami mohon maaf atas ketidaknyamanan Anda dalam menggunakan Aplikasi Peduli Lindungi. Mohon diupdate versi Android diatas 5.0 agar berjalan lancar pada perangkat. Terima kasih atas tanggapan dan dukungan Anda terhadap Peduli Lindungi.",2020-07-10 09:44:51,most_relevant,com.telkom.tracencare
gp:AOqpTOH8rBkn-M1cjo551NIqwSQTppVdxVMoIj49iNlP66eYUuKI4AFjWmc41M3OAEPt6gufFoZNVohLQ8nlh4c,Muhammad Cholik,https://lh3.googleusercontent.com/a-/AOh14GjRQK6XdNLHGYD3bGSoBAaqSDggzQb9NHYidgMxZA,Di desa saya sudah dua orang terkonfirmasi positif covid 19 ... diaplikasi ini saya masih berada tetap di zona hijau. Sepertinya aplikasi ini tidak akurat Membahayakan diri saya sendiri kalau begini,1,0,2.2.2,2020-07-19 14:21:16,"Halo, Muhammad Cholik. Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya ke email kami di pedulilindungi@mail.kominfo.go.id, agar dapat kami cross check datanya. Terima kasih",2020-07-20 02:40:20,most_relevant,com.telkom.tracencare
gp:AOqpTOEhH6uLuNzFhfYgr2pvmxI0RR0YFvlzgTQeRgrUD4Tiun1HXws6C-Ob8hmt79ee5XZ4FkwJ7IgnzcXMLQc,koboi nyasar,https://lh3.googleusercontent.com/a-/AOh14Gir97_yqyl3LJ-Wiokyy2x8IkE-nVD_UgFBh86-,"Ini gimana sih banyak hoax nya, aplikasi bikin panic doank... D tanjakan rajeg kab tangerang gak ada 1 pun yg positif atau pun PDP tapi masuk ZONA MERAH. Aplikasi gak ber mutu,., data ny gak jelas.. Maen kash zona merah ajj, apa jangan2 mau d buat proyek dgn memanfaatkan situasi saat ini",1,18,2.2.2,2020-06-26 06:52:01,"Halo, Koboi. Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya ke email kami di pedulilindungi@mail.kominfo.go.id, agar dapat kami cross check datanya. Terima kasih",2020-06-26 07:31:34,most_relevant,com.telkom.tracencare
gp:AOqpTOGIKbUsIluJCnsMJnvbRrFq88_XYqHfM8jEJdVt0D94cOZJE1-N3QmXpwCSfV7x6c0kWHb9huD7ccVShRE,Abed Paniroi,https://lh3.googleusercontent.com/a-/AOh14GgrC49fosn62ix6YBQPU_NS_ggFIp1QJcpVX1Ld,"Tidak bisa kirim OTP, bagaimana ini? Selalu tidak ada koneksi internet, padahal saya sudah coba pakai wifi, internet data masih juga gak bisa. Mohon diperbaiki secepatnya.",1,0,2.2.2,2020-07-20 22:29:00,"Halo Abed, Terima kasih atas tanggapan dan dukungan Anda kepada PeduliLindungi. Sempat terjadi masalah pada sistem OTP kami. Namun saat ini sudah kembali normal. Silakan install kembali aplikasi PeduliLindungi dan bergabung bersama melawan COVID-19. Terima kasih.",2020-07-22 07:55:33,most_relevant,com.telkom.tracencare
gp:AOqpTOEw_PZ35Vuc5ihEz5YQVU6y1gQbsJ_B1HtRrw3KykmClCK3w9N9tiLDRRmPPwDo1LZ6C1ix3X6rqk2-axg,alexander putra,https://lh3.googleusercontent.com/a-/AOh14GgrLgAQ8p-lRWsEk0RJsSiVTswIYNTTT9ixPbl0ZA,"HP saya tidak bisa membuka aplikasi ini karena HP saya dianggap telah dijailbreak/root. Aplikasi menyarankan untuk menggunakan HP yang lain, sayangnya saya tidak punya HP yang lain.",1,0,2.2.2,2020-07-20 09:37:32,"Halo, Putra.
Terima kasih atas tanggapan dan dukungan Anda kepada PeduliLindungi.
Apabila ditemukan masalah teknis mohon melengkapi data-data berikut:
Model ponsel (contoh Samsung A5):
Versi OS ponsel (contoh Android Kitkat):
Pesan error/screenshot (jika ada):

Dapat di email ke pedulilindungi@mail.kominfo.go.id.
Terima kasih.",2020-07-20 10:59:46,most_relevant,com.telkom.tracencare
gp:AOqpTOGjUyzZHX9tVAI5pYFF77FlKERrZ3K5yPq9HxKVN9Am4FLggJdOzf_OfDEfNLzbMxek0H8SMEpAe1RTQdA,Reva Ramadhana Aryanto,https://lh3.googleusercontent.com/a-/AOh14GioeZ6gMLWFbbojj_u3yIf0oaJSlu-U-D8qHGTDPg,"Ini aplikasi gimana sih, di kelurahan saya padahal sudah ada 2 orang positif COVID sejak minggu lalu, tapi di aplikasi ini kelurahan saya masih zona hijau, mohon segera di perbaiki, jadi sia"" Instal aplikasi kalau kerjanya buruk kayak gini!!!",1,6,2.2.2,2020-07-19 06:02:57,"Halo, Asraf. 
Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya ke email kami di pedulilindungi@mail.kominfo.go.id, agar dapat kami cross check datanya. Terima kasih",2020-07-19 06:18:13,most_relevant,com.telkom.tracencare
gp:AOqpTOHotEZOf22FP8RnJJ_4otal7mr6KEFLXcXH6egLOgZ02ybMNwpSqh1ugaFiZZUQqztiGba_9Miqu0xrIIQ,Akhmad Akbar,https://lh3.googleusercontent.com/a-/AOh14Gj1IqnFkjtUS0158qZxYaDdIQPyqob4pw5bYs0big,"Maaf2 nih, aplikasi klu gak update jgn nyuruh download yg akhirnya malah buat panik, setau tidak ada kasus tercatat di kelurahan tanjung Anom kecamatan pancur batu kabupaten Deli Serdang, kok bisa masuk zona merah ya???",1,5,2.2.2,2020-06-27 09:44:32,"Halo Akhmad
Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya, agar dapat kami cross check datanya. Anda dapat melaporkan gangguan melalui email kami di pedulilindungi@mail.kominfo.go.id. Ayo bersama melawan Covid-19",2020-06-29 09:51:36,most_relevant,com.telkom.tracencare
gp:AOqpTOEa-jD6xiFbVLwbj8VIL9_Ldcc0HKdBj_p2K4vrRWWeZNCLGqjeQQN8PPsJbhsDXM5fuh3VvlVuBilGEeg,Rizki Ahmad,https://lh3.googleusercontent.com/a-/AOh14GiYuj5UtYmOEASbQpYwCdR3bypE7uFuCZhfOopr,"Sejak kapan kelurahan saya zona kuning,kampret nih aplikasi ngada² banget dari pertama wabah ramai sampai sekarang kecamatan saya belum ada yg positif odp phn gada. Malahan waktu psbb sekala jabar kecamatan saya malah adem² aja gada psbb. Apk kurang jelas",1,0,2.2.2,2020-07-04 03:24:38,"Halo, Rizki Ahmad. Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya ke email kami di pedulilindungi@mail.kominfo.go.id, agar dapat kami cross check datanya. Terima kasih",2020-07-06 04:15:27,most_relevant,com.telkom.tracencare
gp:AOqpTOEG2zGNqhJNHj4puHLZQ7-Q3IoTMn8s7188xGv9gB4Ga99fPf_J2gTD3RR6IqsjGu5T2hLAXg24teBjIJc,stanly dotulong,https://lh3.googleusercontent.com/a-/AOh14GiMoeW8nIf4nK4lE4d6iqQMzDYvWWWSX_nUNAqF0w,"Aplikasi ini tidak up to date dengan data zona tiap daerah. Sekarang saya berada di zona merah menurut pemerintah kota, tapi di aplikasi masih zona hijau.",1,0,2.2.2,2020-07-01 09:41:38,"Halo, stanly dotulong. Terima kasih atas dukungan dan tanggapan Anda terhadap Peduli Lindungi. Mohon dapat disampaikan juga lokasi Kelurahannya ke email kami di pedulilindungi@mail.kominfo.go.id, agar dapat kami cross check datanya. Terima kasih",2020-07-02 01:56:29,most_relevant,com.telkom.tracencare
