"Nama ","Review","Label"
"Prame Swara","Booking tiket ka gagal terus males mau dowload mau kau kasih tiket ka gratis pun gak ada artinya kalau gak bisa pesen","NEGATIF"
"Felisha Aris","di tambahin promonya donk. semakin menjadi pelanggan semakin ga bisa di pakai promo2 nya. dulunya promo selalu bisa di pakai berkali2. tp sejak berlangganan dan dikasih review bintang 5 malah. semakin PELIT PROMO.   ","NEGATIF"
"Aenur Rohmah","aplikasi macam apa ini, gak bisa signin. telp callcenter (cwok,suara berat) juga jawabannya gak menyenangkan. nada terlalu meremehkan. langsung uninstal aja.","NEGATIF"
"ROOKIE GAMING","intinya kapok pake aplikasi ini ,saya lupa karena tidak lihat terlebih dahulu jumlah download/pengguna ,dan proses refund lama 7-14 hari tidak terhitung hari libur","NEGATIF"
"Narasya Channel","Katanya murah!??? Masih murah sama aplikasi sebelah  ","NEGATIF"
"ponco kusnandar","dibanding yg lain, mister aladin lah yg paling banyak kasih diskon, cuma untuk pembayarannya tolong disediakan virtual account untuk bank bca jg, jd gk perlu ke atm","NEGATIF"
"Heri Andi","Responnya asisten chat nya lama . Ketika mau chekout tiket tidak ad no rekening nya....metode bayarnya dkkirim ke email tp sampe ad 1 jam lebih nunggu gk ad email metode pembayarannua","NEGATIF"
"Pengguna Google","Saya , baru kali ini book di mister ald. Tapi pengalam pertama saya gatot/gagal total masa iyaa asistent yg kta nya 24 jm melayani pas bagian saya suruh booking tiket peswt+hotel+jemputan bandaraaa diaaaaaa gaa respooonn . Tolong lahh kebijakn nya hrga sih okee cuma bingung nya itu dalam apk nya","NEGATIF"
"Dewi Yanti","Kenapa memaksa update, kalau engga update TDK bisa masuk","NEGATIF"
"Yusuf Xperianz1","jiancuk ni aplikasi, login via apapun gagal. buangsat asu habisin waktu berharga saya demi login ni aplikasi. cok","NEGATIF"
"Desty Bregita","Sudh gak ada promo tiket kereta sekarang padahal itu yg bikin mr aladin pling murh diskon tiketnya. Auto uninstal ","NEGATIF"
"Merlyn Mobile Lagend Lucu","Kesal banget tiap x ada promo di bk ssh amiiir aplikasi nya gimn sich mister aladin tlng dong aplikasi nya kyk di setel aja smpai ga bs dpt promo nya pd hal paket data bgs jg wifi pun msh aja ga bs di bk2...???","NEGATIF"
"Rezti ms","Di web dan di Apl tidak sesuai. Lebik baik yg di web. Tapi harus menunggu proses yg agak sedikit lambat. Tolong ditingkatkan","NEGATIF"
"Alegrian 18plus","Pembayaran sudah di transfer,begitu sampel hotel,sudah kamar sudah full,customer servicenya ditelpon pun sangat kurang sopan santun,sangat merugikan.","NEGATIF"
"Vika Risnanita","Kenapa total pembayaran di applikasi dgn di email beda,, di apllikasi uda terpotong diskon tp di email blm terpotong Yg bener yg mana..membingungkan","NEGATIF"
"Kus Hariyono","bayar pkai virtual account selalu bill kadaluarsa, padahal baru aja isi data boking. uda dicoba bbrp x, selama 2 hari jg hasilny Tetap sama.. tlong dong perbaiki kuaitasny","NEGATIF"
"Neng Langsing Suise","Kode.promo.kepanjangan, sulit.dihafal, sehingga harus dicatat.dulu atau bolak balik.lihat lagi Mohon disederhanakan","NEGATIF"
"FSDRRF CILIK","Kok destinasi arrival nya makassar kok gak ada padahal udah ketulis aku juga udah tulis sultan hasanuddin masih belum juga tolong diperbaiki dong","NEGATIF"
"Yustinus Sitorus","Mohon bantuannya, kenapa saya tidak bisa di konfirmasi utk memasukkan identitas penumpang?","NEGATIF"
"Galih Fera Dhuwi Rahayu","Harga mahal masih kalah jauh sama aplikasi yg lain,,","NEGATIF"
"mulia nurihwani","adain pembayaran via virtual account dong biar lebih oke, kalau byr nya ke ATM bersama ada biaya admin bank lagi belom hrs ke atm, bayar parkir dan boros bensin  ","NEGATIF"
"Maya Ringgala","langsung kasih 5 bintang walau belum pesan...mr aladin tolong dongk kasih saya diskon kamar untuk bulan maret , mau ngehadirin adik nikah. pas lagi bokek, pas tunjangan belum keluar","NEGATIF"
"Boss Oke","Promo voucher discount penerbangan nggak bisa digunakan, ""Not Active"". Proses refund juga agak ribet, tidak seperti di Tra****, menu nya lebih lengkap","NEGATIF"
"Pengguna Google","buruk buruk buruk sama sekali loading lama, tidak bisa klik pesan baik tiket pesawat, hotel, kereta api... mending aplaksi tetangga cepat, loading ga telmi,","NEGATIF"
"Arjuniwan Brahmana","Kenapa ga bisa pesan tiket kereta api lagi ya?? Baru juga minggu kemarin pesan,aman2 saja... Tolong dong..","NEGATIF"
"Novita Kusumawati","buat booking tiket kereta api gabisa2, tpi buat booking hotel lbih gampang","NEGATIF"
"imam kharomen","aplikasi yg menipu.sdh bayar dan tranfer pada hari H hotel tdk meras di pesan dari mister aladin.pdhl semua hotel penuh akhirnya batal berlibur dgn keluarga....","NEGATIF"
"Agus Tri Yulianto","Kenapa sekarang untuk cek tiket kereta bulan september tidak bisa? Rute tidak tersedia,padahal lewat aplikasi sebelah bisa","NEGATIF"
"Rendy Bros Tito","3 bintang dulu. kalau diskon 20% untuk kereta apinya sudah tanpa minimal transaksi, nanti baru 5 bintang.","NEGATIF"
"Pengguna Google","tolong untuk perbaiki lagi apl karna saya sama sekali tidak bisa sign in apalagi untuk memesan sungguh tidak nyaman sekali bila seperti ini terus","NEGATIF"
"Diana Official","kecewa , pertama x pesan hotel dsini liburan dgn kluarga pesan 2 kamar tapi koq 1 kamar tdk ada katanya minta refund jg responnya lama banget tolong dong di refund semuanya","NEGATIF"
"Denson Limbong","Aplikasi asal jadi, sudah gps aktif, ketik tempat, masih saja ga nemu hotelnya. Ga malu apa developer aplikasi ini, dengan hasil begini?","NEGATIF"
"Fhaaro Mitha","dri tadi buat nyari tiket kereta lemotnya bukan main. gk jalan2 malah. padahal internet saya lagi kenceng2 aja. dicoba buat buka yutub, ig, chrome. juga kenceng2","NEGATIF"
"Gery2 Liem","Promo tiket pesawat domestikx sdh tdk ada lagi.","NEGATIF"
"Pengguna Google","Saya pesen tiket kereta api .. sudah isi data penumpang.. tinggal pembayaran..tapi TIDAK BISA","NEGATIF"
"Dewi Masyitoh","untuk sistem pembayaran nya tolong dipermudah untuk no rekening mungkin bisa ditambahkan bank BRI","NEGATIF"
"Ninik Inda yati","sya kira ada tiket kapal jga... tpi gk ada ya .. syang skali  ","NEGATIF"
"Irfan Bagaskara","Jembut, bayar pakai ovo gabisa, pas mau bayar tiba2 aplikasi berhenti, terus bayar di alfamart code gagal terus. kontol","NEGATIF"
"Fitriah Fitriah","Sumpah kesel banget dah mau pesan tiket pesawat pas udh ngisi identitas, gk bsa di lanjutkan,","NEGATIF"
"UWA JOJON","Untuk pembelian tiket kereta dah gak ada potongan   ","NEGATIF"
"Pengguna Google","Busettt Loading nya lama banget ga sama sebelah, tolong dong di perbaiki, kalo begini biar promo nya gede tp ga bisa di gunakan, Skali lg tolong di perbaiki","NEGATIF"
"rezki pratama putra","mohon di tingkatkan untuk app nya, biar kalo lg buka app lain ttp berada di halaman trakhir kita buka app mr aladinnya sering bgt ngulang k home lg","NEGATIF"
"Shofi Retno","Cari diakonan pas tanggal 30 okt kok gak nemu nemu  ","NEGATIF"
"Rizki Restiawan","tidak bisa di pakai. sayangnya mister aladin telah berhenti !","NEGATIF"
"HAN DITTO","discount nya gede sih...tp cm bisa di pake sekali doang jd gak asyik...gak bisa tiap hari dapat discount lg..payah...satu bintang buat mister…","NEGATIF"
"Puphey Yudisti","cs terlalu slow respon.. tolong di baca email dari customer donk.. .","NEGATIF"
"Aldi Trisnawadi","promo tidak bisa dibayarkan melalui transfer tai lah! yang kaya semakin kaya dan semakin enak di manjain semuanya!","NEGATIF"
"prista agung","masih kalah sm smua aplikasi booking pesawat dan hotel lain, kasi promo kok setengah2, lucu","NEGATIF"
"Siapa saja Boleh lah","Ada yang udah pernah pesen tiket disini belom? Emang bener ya lebih murah??? Liat d iklan sih baru mau instal heheh semogaan aja bener dan ga ribet","NEGATIF"
"Karya Adhie","saya kecewa,pembelian kamar saya yg 1 gk masuk,sudah bayar 2 tp cm masuk 1","NEGATIF"
"Fendi Riyanto","Semoga makin banyak promo diskonnya...","NEGATIF"
"Gatot Trisantoso","udah dcerewetin masih aja mau bls""n nih mister.   coba dong disc hotel'a berlaku untuk pembayaran d'alfamart (mini market). pokoke mantep betull dahhh      ","NEGATIF"
"orelane video","kecewa sama mister aladin tidak berani menaikkan promo seeprti aplikasi sebelah..dari dulu cuma 50k untuk maskapai LION..tolong di perbanyak promo untuk tiket pesawatnya","NEGATIF"
"Dessy Christina S","Ga bisa login, responnya cuma muncul tulisan 500 pas mau masukin lagi harus nunggu sejam?  ","NEGATIF"
"Edwar Pekanbaru","harga ga update.. di travrloka jkrta -pekanbaru udah ada yg 800 ribuan.. mr aladin masih diatas 1,1 smua penerbangan.. sueeee.....","NEGATIF"
"Testimonial Cataluna","akan lebih baik jika metode pembayaran ATM tersedia tuk semua transaksi.","NEGATIF"
"Pengguna Google","Mister aladin koplak, Masak gk ada layanan jodoh, Aladin kan serba bisa dan bisa mengabulkan sgala permintaan, Ap gue salah mantra ya, pas buka aplikasi,.","NEGATIF"
"Wahyu Allamy","Kapan Mister Aladin pakai pembayaran virtual account BCA? Itu aja kekurangannya menurut saya..","NEGATIF"
"Mikha Romasty","bbrp kali cek penerbangan....selalu penerbangan tidak tersedia....masa sehhhhh.!!!uda diubah2 tgl juga...","NEGATIF"
"Armand Syahrul","murah dari mana sama aja mahal...payah neh aplikasi...di remove lagi aja deh","NEGATIF"
"Ari Sandi Mana","Payah, masa airport keberangkatan domestik cuma ada 10?","NEGATIF"
