Name,Review,Label,,,
Yuki Audhia,Kesekian kalinya beli tiket kereta api disini n tdk pernah kecewa. Tiket lebaranpun bs dpt tiket pulang pergi. Puas pokoknya. Cuma sayang untuk promonya skr menggunakan syarat pembayaran tertentu. Padahal pertama kali berminat pake aplikasi ini krn promonya banyak n tdk ribet,POSITIF,,Negatif,287
Novita Vita,"Mantul lah...mudah""an lbih baik lagi..    Cepat g neko"" ... Saran saya,mudah""an iklan di televisi di ganti ajj,kurang berbobot.. ",POSITIF,,Positif ,712
Mulasih Tary,"Baru mau pakai aplikasi ini, saya akan beri ulasan stelah memakainya dan akan beri bintang 5 kalau sesuai...",POSITIF,,,999
Heri Waluyo,"Mohon maaf sebelumnya cuma mau kasih saran aja,  klo mau tambah maju sukses menurut saya ini aplikasi mohon maaf  klo bisa nama Mister Aladin sama iklan nya mohon diganti aja kurang bagus tdk menarik, Mohon maaf sekali lg cuma saran aja, semoga aplikasi ini bisa memberi manfaat utk smua ora...Ulasan LengkapMohon maaf sebelumnya cuma mau kasih saran aja,  klo mau tambah maju sukses menurut saya ini aplikasi mohon maaf  klo bisa nama Mister Aladin sama iklan nya mohon diganti aja kurang bagus tdk menarik, Mohon maaf sekali lg cuma saran aja, semoga aplikasi ini bisa memberi manfaat utk smua orang, SUKSES BOSS",NEGATIF,,,
el Junior toys,Sejak di iklanin di tv. Diskon keretanya udah ga pernah ada lg..jadi pindah ke sebelah aja,NEGATIF,,,
Feryl Feryl,Mahal harga nya dan pesawat nya tidak ada pilihan...,NEGATIF,,,
Tiket Pedia,Sangat memudahkan dalam booking tiket pesawat,POSITIF,,,
seffya ayay,ko susah mau pesan gak bisa malah disuruh cari tiket terdekat,NEGATIF,,,
Isma Saputro,"Mantap mister aladin, sudah 3x dapet tiket promo. Kalo bisa tuk tiket bis juga ada Promo tiketnya dong di tambah",POSITIF,,,
Mang Oe Channel,"Aplikasi bagus, diskonan oke.. Recommended buat para traveller",POSITIF,,,
Dian Hermawan,"Ok,apalagi banyak promonya tak klop kan jadi bintang lima",POSITIF,,,
Hikmat Praja,Lebih maju lg....,POSITIF,,,
Idris Apandi,"Saya baru pertama melakukan transaksi pakai aplikasi. Saya sudah booking tiket kereta api dan sudah saya bayar di alfamart. Tetapi etiket belum juga dikirim dan hanya disuruh untuk menunggu tanpa kepastian. Tolong diperbaiki sistemnya, atau kasih konsumen kejelasan. Setidaknya cs harus cepat tanggap...Ulasan LengkapSaya baru pertama melakukan transaksi pakai aplikasi. Saya sudah booking tiket kereta api dan sudah saya bayar di alfamart. Tetapi etiket belum juga dikirim dan hanya disuruh untuk menunggu tanpa kepastian. Tolong diperbaiki sistemnya, atau kasih konsumen kejelasan. Setidaknya cs harus cepat tanggap dengan komplain konsumen.",NEGATIF,,,
AGUS SETIONO,"Sering Promo tapi PHP. Ngeluarin kode promo tapi invalid pas dimasukkan kode promonya (padahal masih di awal jam promo, udah dibela-belain nungguin jam promo). Tiba udah bisa masukkan kode promo keterangannya malah kuota habis. Sebenarnya niat ngasih promo nggak sih, atau cuma mau ikut-ikutan OTA se...Ulasan LengkapSering Promo tapi PHP. Ngeluarin kode promo tapi invalid pas dimasukkan kode promonya (padahal masih di awal jam promo, udah dibela-belain nungguin jam promo). Tiba udah bisa masukkan kode promo keterangannya malah kuota habis. Sebenarnya niat ngasih promo nggak sih, atau cuma mau ikut-ikutan OTA sebelah aja... OTA sebelah sih jelas promonya REAL PROMO not MYSTERY, gak PHP kayak kamu Mister.",NEGATIF,,,
Val Gregor,"Aplikasi ini susah bagus... Membuat akses booking dan memesan tiket lebih mudah, selain itu terdapat banyak diskon yang bisa dipakai, tetapi masih terdapat beberapa masalah yang ada, seperti terkadang ada kesalahan dari aplikasi seperti saat sudah membayar di alfamart tetapi ternyata di aplikasi ini...Ulasan LengkapAplikasi ini susah bagus... Membuat akses booking dan memesan tiket lebih mudah, selain itu terdapat banyak diskon yang bisa dipakai, tetapi masih terdapat beberapa masalah yang ada, seperti terkadang ada kesalahan dari aplikasi seperti saat sudah membayar di alfamart tetapi ternyata di aplikasi ini dituliskan bahwa transaksi tersebut gagal, sehingga membuat uang yang sudah dibayarkan sia-sia, sehingga lebih baik diperbaiki secepatnya tentamg sistem ini.",POSITIF,,,
Lia Puspita,"Saya kecewa dengan pelayanan, tidak bisa melakukan check in di hari keberangkatan menyebabkan saya harus membeli tiket kembali, tidak ada konfirmasi jauh2 hari untuk tiket keberangkatan saya tidak bisa check in, di layar tertulis times out, padahal saya sudah melakukan pembayaran sebelum batas waktu...Ulasan LengkapSaya kecewa dengan pelayanan, tidak bisa melakukan check in di hari keberangkatan menyebabkan saya harus membeli tiket kembali, tidak ada konfirmasi jauh2 hari untuk tiket keberangkatan saya tidak bisa check in, di layar tertulis times out, padahal saya sudah melakukan pembayaran sebelum batas waktu pembayaran.....",NEGATIF,,,
aliah pakalolo,Lebih murah dr yg lain,POSITIF,,,
M Holil,Ahh gimik doang diskon nya,NEGATIF,,,
Akhmad Zaenul,Ga ada diskon lagi,NEGATIF,,,
jul indra,Tiket pesawatnya minim promo,NEGATIF,,,
aqeela nabila,Kenapa skrg kecil discountnya... Saya selalu tiap bulan langganan beli tiket kereta di sini. Bener2 bisa memangkas budget karna Bulan kmren tiket kereta masih discount 20% tanpa maksimum discount 75000. Skrg cuma 15% maksimum 75000. Sedang sekali beli saya 3-4 orang Pp,NEGATIF,,,
darmawi awie,Sangat memuaskan,POSITIF,,,
Dwi N.P Sawaki,"Mf ksh bintang 4, soalnya aplikasi ini hrs di daerah yg berinternet kencang, klo kita di Papua hrs nunggu lama loading hnya untk ngecek harga, klo cm 3 aplikasi sebelah msh stabil saja. Thanks",NEGATIF,,,
