"Name","Review","Label"
"Apriani Tiasna","Dulu pas lgi baru download aplikasi pegi2 bersamaan dengan lgi hitsnya pegi2, Banyak sekali promo2 yang ditawarkan. Sehingga transportasi apapun yg dipesen pasti lewat pegi2. Sekrng promonya semakin berkurang, tiket pesawat dengan transaksi minimum yg melebihi harga tiketnya. Sayang sekali. Semga ke...Ulasan LengkapDulu pas lgi baru download aplikasi pegi2 bersamaan dengan lgi hitsnya pegi2, Banyak sekali promo2 yang ditawarkan. Sehingga transportasi apapun yg dipesen pasti lewat pegi2. Sekrng promonya semakin berkurang, tiket pesawat dengan transaksi minimum yg melebihi harga tiketnya. Sayang sekali. Semga ke depan semakin sukses, semakin banyakin promo yg tanpa transaksi minimum dan tetap menjadi aplikasi utama yg saya pilih. Termakasih","NEGATIF"
"Eklesia Bulouw","Sumpah ga jelas banget, cari tiket pesawat, harga didisplay sekian, pas di klik berubah, coba keluar, masuk lagi, harga berubah lagi, di klik berubah lagi, berubah2 terus, jadi yg bener harga yg mana?? ini aplikasi error atau gmn sih?","NEGATIF"
"Haris Ridwan","Pesen hotel di Comford room near stasiun lempuyangan at wisma bu yanti 1.tdk ada deskripsi khusus perihal info kamar mandi dll,giliran sudh byr bru muncul deskripsi menjelaskn Kamar mandi Luar dan tdk menerima Refund/Pembatalan,merasa diTipu. Realnya jg tdk sprti dFoto,Jauh banget dr Harapan. Aplika...Ulasan LengkapPesen hotel di Comford room near stasiun lempuyangan at wisma bu yanti 1.tdk ada deskripsi khusus perihal info kamar mandi dll,giliran sudh byr bru muncul deskripsi menjelaskn Kamar mandi Luar dan tdk menerima Refund/Pembatalan,merasa diTipu. Realnya jg tdk sprti dFoto,Jauh banget dr Harapan. Aplikasi SOAK g selektif Filter info yg Valid.","NEGATIF"
"Dik Nan","Tanggal 26-02-2020 saya pesan di pukul 00:00. Bisa pesan. Namun pembayaran untuk di Alfamart tidak tersedia, begitu juga Indomart. Saya KECEWA SEKALI.. padahal karcis untuk mudik lebaran idul Fitri 26-05-2020. MAAF SAYA UNINSTALL","NEGATIF"
"Anita Rachmah","Sejauh ini selama saya pakai aplikasi ini kenyamanan terjamin. Meskipun selalu pakai akun suami saya. Selama di jogja jika ada hotel yang full tiba tiba segera di ganti ke tempat yang lebih bagus lalu langsung meng infokan ke kami. Trimakasih pegi pegi ... Pengalaman pertama di jogja kami jadi menye...Ulasan LengkapSejauh ini selama saya pakai aplikasi ini kenyamanan terjamin. Meskipun selalu pakai akun suami saya. Selama di jogja jika ada hotel yang full tiba tiba segera di ganti ke tempat yang lebih bagus lalu langsung meng infokan ke kami. Trimakasih pegi pegi ... Pengalaman pertama di jogja kami jadi menyenangkan.","POSITIF"
"Liuzhiro Solihan","Kenapa harus ada tanggal lahir di isian data penumpang, menyusahkan saja, di aplikasi lain gak ada kaya gini.... Sampah memang yg bikin update nya.!!!!!!","NEGATIF"
"debora tampoli","Nyari tiket ke manado harga yg muncup 400rbu,500rbu ato 600rb..giliran di klik gk bisa.. apaaan dah cobaaa... Cuma mau bikin banyakin akses aja pdhal boong harga tiketnya.. di klik"" berkali-kali ... Bener"" hoax, . Di pilih 500rbu yg nongol harga 1juta.. 500rbunya malah gak nongol, pdhl udah di klik ...Ulasan LengkapNyari tiket ke manado harga yg muncup 400rbu,500rbu ato 600rb..giliran di klik gk bisa.. apaaan dah cobaaa... Cuma mau bikin banyakin akses aja pdhal boong harga tiketnya.. di klik"" berkali-kali ... Bener"" hoax, . Di pilih 500rbu yg nongol harga 1juta.. 500rbunya malah gak nongol, pdhl udah di klik berkali-kali","NEGATIF"
"Pri Atmoko","Tampilan nya bagus... Hanya saja pas mau pilih penumpang harus buka page dl baru pilih penumpang.. Mungkin lebih bagus dihalaman tersebut ada semacam tombol data pemesan sama dengan data penumpang sehingga lebih cepat lagi karena tidak harus pindah page.. Thanks","POSITIF"
"Ilham Dimas","Hati hati pake pegi pegi proses refund ga jelas, dana udah dikembalikan dr maskapai cs nya kasih info dana blm dikembalikan, dana memang seperti tidak diproses untuk refund, baru saya kejar baru diproses, dan info via email 1-3 hr proses refund kemudian setelah 4 hr saya kontak ke cs pegi pegi info ...Ulasan LengkapHati hati pake pegi pegi proses refund ga jelas, dana udah dikembalikan dr maskapai cs nya kasih info dana blm dikembalikan, dana memang seperti tidak diproses untuk refund, baru saya kejar baru diproses, dan info via email 1-3 hr proses refund kemudian setelah 4 hr saya kontak ke cs pegi pegi info 7-14 hr, dr sini saya mulai curiga memang dr pihak pegi pegi tidak jelas dalam mengurus refund JADI HATI HATI BAGI KALIAN YANG MAU PAKE PEGI PEGI","NEGATIF"
"Dandan Intan Permana","Saya suka Pegipegi banyak promonya dan harganya lebih murah dari aplikasi yang lain..Semoga terus memberikan kenyamanan dan promo yang bagus.","POSITIF"
"Jehan Nurrohman","Selalu puas, Harga yang paling Murah dari aplikasi penyedia akomodasi lainnya. Thanks PEGI","POSITIF"
"Chang Erna","Tidak di rekomendasi untuk beli tiket di aplikasi ini....proses refund yang berbelit2 dan sangat2 lamaaaa... Nyesel pernah beli tiket melalui aplikasi ini","NEGATIF"
"Putra Agung","Ilang duit gue 2,4 juta pake aplikasi ini. Gue booking tiket ANA, tapi salah tanggalnya, trus dicoba refund. Ga bisa. Kata pihak CS ANA di jepang, cuman pegi2 yg bisa batalin. Sedangkan gue minta refund ke pegi2 katanya non refundable. Padahal berangkatnya bulan depan lo yg salah ini, aplikasi sebel...Ulasan LengkapIlang duit gue 2,4 juta pake aplikasi ini. Gue booking tiket ANA, tapi salah tanggalnya, trus dicoba refund. Ga bisa. Kata pihak CS ANA di jepang, cuman pegi2 yg bisa batalin. Sedangkan gue minta refund ke pegi2 katanya non refundable. Padahal berangkatnya bulan depan lo yg salah ini, aplikasi sebelah aja refund 3 hari mau berangkat aja bisa dan ga banyak tanya. Mantappppsssssssssss. Tobat gue pake ini.","NEGATIF"
"Rizal Fanani Abdilah","Aplikasi mengalami kegagalan sistem pada tanggal tertentu, dan belum ada perbaikan.","NEGATIF"
"Charis Gultom","Tgl 14 Januari yang lalu saya melakukan pemesanan tiket untuk rute Palu (PLW) > Jakarta (CGK) keberangkatan tgl 16 Januari dan rute Jakarta (CGK) > Palu (PLW) keberangkatan tgl 17 Januari. Tidak sampai 24 jam,saya mengajukan refund dimana info dari cs bahwa dana refund yg saya terima ±50% dari harga...Ulasan LengkapTgl 14 Januari yang lalu saya melakukan pemesanan tiket untuk rute Palu (PLW) > Jakarta (CGK) keberangkatan tgl 16 Januari dan rute Jakarta (CGK) > Palu (PLW) keberangkatan tgl 17 Januari. Tidak sampai 24 jam,saya mengajukan refund dimana info dari cs bahwa dana refund yg saya terima ±50% dari harga total Rp 1.949.917. baru saja ada notifikasi di email saya bahwa dana refund telah ditransfer namun ketika saya cek di aplikasi M-Banking tidak ada riwayatnya. Mohon klarifikasinya dari PegiPegi.","NEGATIF"
"Erin Dee","Pegi2 selalu okeh..blm pernah ada kendala ketika pesan pesawat, kereta dan hotel..top","POSITIF"
"Ety Yas","Fitur lengkap dan bagus cuma kadang kalau cari hotel ga sesuai dengan fasilitas yang ditawarkan hotel. Discount kecil. Kupon Pepe nya juga kecil. Tingkatkan layanannya","NEGATIF"
"Putra Saputra","Mau coba booking tiket pesawat dari kalbar ke jawa..unt kluarga,..mengpa nama bandara nggk ada?","NEGATIF"
"Yuni Muliana","Sumpah ya, aplikasi ga jls. Setiap aku bikin pesanan tiket pesawat harga selalu beda. Katanya ada perubahan harga. Padahal aku cek harga Masi sama. Berulangkali bgtu trs. Paraahh","NEGATIF"
"siska septiani","Kesel gua udh bela2in bangun tengah mlm buat pesan tiket kereta, taunya zonk. Sumpah ya ngenekin bgt ni aplikasi dari kemarin2, 00:00 ditungguin pas cek udah penuh semua","NEGATIF"
"sara aruan","Setiap masuk ke menu pembayaran prosesnya selalu gagal, kenapa ya?","NEGATIF"
"Rizki Putera Wicaksono","Harga yg ditampilkan tidak sesuai dengan tiket yang sdh dibooking. Di bagian awal harga tiket murah ketika dipesan harganya berubah","NEGATIF"
"Muhammad Ichsan","Tingkatkan terus pelayanan, berikan kontribusi ekonomi digital untuk Indonesia 🇮🇩","NEGATIF"
"Meilina Pakpahan","Selama ini andalan dan kebanggan saya pakai pegipegi drpd aplikasi travel online yang lain. Eh sekalinya ketemu proses refund, catet ya 1-3 bulan dr proses pengajuan data refund lengkap diterima. Lamanyeeee... udah gitu yg saya bayar 1.552.000 eh yg direfund 1.015.000. WHAT??? Memalukan. Potongan 15...Ulasan LengkapSelama ini andalan dan kebanggan saya pakai pegipegi drpd aplikasi travel online yang lain. Eh sekalinya ketemu proses refund, catet ya 1-3 bulan dr proses pengajuan data refund lengkap diterima. Lamanyeeee... udah gitu yg saya bayar 1.552.000 eh yg direfund 1.015.000. WHAT??? Memalukan. Potongan 15rb administrasi x 4 org cuma 60ribu!!!","NEGATIF"
"Anggun Nilamsari","Data kereta tak valid, di pegi2 masih tapi setelah di pesan sold out, padahal masih tersisa jadwal kereta banyak bangeeet, capek di php","NEGATIF"
"Johanes Five","Mengapa pembayaran dg kartu debit dikelompokkan ke pembayaran kartu kredit? Jadi menunya masih kurang informatif..","NEGATIF"
"OBET RICHARDO","Cukup puas krn hrg lbh murah sedikit,klo bisa ditambah lg yah produk lainx.jng cmn hotel,pesawat dan kereta.","POSITIF"
"Budi Rianto","Kenapa sih aplikasi ini mengalahkan promo aplikasi lain?? Kan ga bisa pindah ke aplikasi lain slalu ke sini","NEGATIF"
"Muhammad Irsal","Nanti disambung lagi setelah resmi konfirmasi pembayaran selesai.","POSITIF"
"anjas dwiansyah","Saya ingin bertanya,, saya sudah transfer uang pembayaran hotel,, terus di situ saya lupa register sedangkan saya sudah membayar nya,, ketika saya selesai register tidak ada pesanan yang selesai,, itu bagaimana ya apakah uang saya hangus karena belum register sudah membayar hotel nya?","NEGATIF"
"Yopik Gunawan","Sangat suka dengan aplikasi pegi pegi, sangat membantu di saat perjalanan jauh, disaat cari penginappan","POSITIF"
"Joko Camat","Pegi-pegi memang mantuuulll.. soalnya lbh murah drpd yg lain..","POSITIF"
"LULU ENDAH KHARIRI","Tulisan harga tiket pesawat 920. Tapi sekali harga yg di bayar 999k . Mana loadingnya lama lagi.","NEGATIF"
"INDRA KHAN","lebih murah dn gampang,pesan berkali kali disini lebih gampang,lebih murah","POSITIF"
"Maruf Ahmad","Harga berani bersaing dengan toko sebelah brooo... mantap","POSITIF"
"Yuliastutik Djawahir","Paling murah ini aplikasi dr yang lain Cuman batas waktu pembayaran nya mohon di perpanjang","POSITIF"
"Thoriq Nurmantoni","Alhamdulillah, berkat aplikasi ini bisa kumpul dengan keluarga di kampung waktu hari raya...","POSITIF"
"Adi Ui","Sangat sangat mengecewakan. Tolong kalau tulis keterangan di hotel sesuai keadaan nya.saya sangat kecewa. Gak bakal lagi pesan lewat sini.kapok very very bad.saya ikhlasin saja uang saya gak kembali. Duit sudah saya transfer dan ada Ket berhasil dan ada bukti nya di bilang uang gak di transfer dan g...Ulasan LengkapSangat sangat mengecewakan. Tolong kalau tulis keterangan di hotel sesuai keadaan nya.saya sangat kecewa. Gak bakal lagi pesan lewat sini.kapok very very bad.saya ikhlasin saja uang saya gak kembali. Duit sudah saya transfer dan ada Ket berhasil dan ada bukti nya di bilang uang gak di transfer dan gak masuk .hello kalau mau berbohong dipikir dulu 🖕🖕🖕","NEGATIF"
"Bambang Kristianta","Aplikasi buang2 kuotaaa Baru download, mau dipakai untuk booking udah keluar terus aplikasi nya","NEGATIF"
"ongky pratama","Iklan hotel yang terdapat di aplikasi tidak sesuai dengan keadaan hotel. mengharuskan customer melakukan pembayaran 15 menit setelah booking, akibat ketidaksesuaian aplikasi proses pembatalan Check in tanggal 27 pembatalan harus tanggal 24, masa mau di cek 3 hari sebelum Check in.. Pembayaran uang k...Ulasan LengkapIklan hotel yang terdapat di aplikasi tidak sesuai dengan keadaan hotel. mengharuskan customer melakukan pembayaran 15 menit setelah booking, akibat ketidaksesuaian aplikasi proses pembatalan Check in tanggal 27 pembatalan harus tanggal 24, masa mau di cek 3 hari sebelum Check in.. Pembayaran uang kembali 14hari kerja? Keburu liburan selesai.. Kurang dapat dipercaya aplikasi ini.. Cs memberikan jawaban tidak masuk akal..","NEGATIF"
"Eko Wahyono","Terimakasih banyak PegiPegi. Perjalanan saya dan keluarga menjadi lebih mudah dalam pemesanan. Terus tingkatkan pelayanan dan sukses terus ya.","POSITIF"
"Cindy D.V Surbakti","Saya kecewa dgn aplikasi ini saya buat rute medan ke nias malah dikasih tiket yg terbalek emang kemaren ga saya cek krn buru2 tp anda lbh jahat ngasih tiket yg salah... anda jahattt","NEGATIF"
"Arianto. Aya","sering-sering aja program discount, ndak mungkin custumer ndak memberi BINTANG","NEGATIF"
"Veronji Fun","Mantaplah, waktu pemesanan sampai terbayar 1jam... jadi tidak terlalu terburu buru.","POSITIF"
"Linda friska siregar","Apakah tiket harus di print lagi di stasiun juka sudah beli tiket lewat pegipegi","NEGATIF"
"Sri Dayati","Pesan hotel dan tiket pesawat lbh mudah dn lbh murah...","POSITIF"
"Silvia Phungky","Peraturan reschedule hotel max h-3, sangat tidak logis. Kalo keperluan bisnis baru pesan 1-2 hari sebelum lalu mau direschedule gak bisa. Ga user friendly. Ga bisa refund juga. Padahal sama sekali hotelnya ga dipakai check-in. Kebijakan yang buruk.","NEGATIF"
"Akbar Baharuddin","Tidak bisa refund tiket yg udah dibeli karna sistemnya rusak tulisannya ""tidak ada koneksi internet"" padahal paketan masih bnyak pake wifi jg ttap sama. Bangkee","NEGATIF"
"Mas Kar","Awal februari 2020 sdh 2x pesan via pegipegi, tetapi data tidak muncul di pesanan, ada konfirmasi setiap kali buka pesanan ""ada kesalahan system"" Tolong diperbaiki, bikin repot buka email hanya untuk liat kode booking Terima kasih","NEGATIF"
"Muhamad Ezay","Terimakasih pegipegi semoga selalu sukses dan semakin maju terus","POSITIF"
"Permata Sari","Mohon maap... Setelah liat ulasan dari para pengguna jasa aplikasi pegi2 ini spt nya bnyak yg kecewa... Spt refund yg tdk dkembalikan, Keterangan lokasi bandara yg tdk jelas, booking hotel yg tdk ada info jk udh penuh. Utk pihak manajemen pegi2, tolong donk kasi penjelasan yg bs bikin hati ini lega....Ulasan LengkapMohon maap... Setelah liat ulasan dari para pengguna jasa aplikasi pegi2 ini spt nya bnyak yg kecewa... Spt refund yg tdk dkembalikan, Keterangan lokasi bandara yg tdk jelas, booking hotel yg tdk ada info jk udh penuh. Utk pihak manajemen pegi2, tolong donk kasi penjelasan yg bs bikin hati ini lega...","NEGATIF"
"OT Reqruitmen","Sangat sangat mengecewakan, aplikasi paling ga layak di pakai. Ngomong diskon, apaan yg diskon? Masih pakek mendingan aplikasi yang sebelah. Ditanggal dibuat harga tiket 1.5, giliran di klik jadi 3jt an. Uninstall aja aplikasi bodoh. Najis buat pakek dan sangat tidak recomanded.","NEGATIF"
"ali shobirin","mudah dan banyak persyaratan promo, untuk tiket kereta juga kurang bagus pelayanannya.. Mau pesan tiket kereta buat 2 bulan kedepan saja g ada maskapainya. Tapi untuk tampilan dan kegunaan ya standar lah ya ,kyk yg apl tetangga, banyak promo dan g jelas promonya.","NEGATIF"
"Fachriani Putri","Promo yg tertera di aplikasi adalah benar, namun sebelumnya kita harus teliti membaca syarat dan ketentuan.","POSITIF"
"ELKIDS VIDEOS","Udah bayar tiket hotel di salah satu apartemen milik reddorrz udah kelokasi jam 10 malem, cari2 apartemennya sumpah gak nemu sama sekali. Tanya2 satpam setiap blok, gak ada jugaaaa, sial jam 11 malem loh itu harus cari hotel lain, info di email konfirmasi booking juga gak jelas, gak ada rules harus ...Ulasan LengkapUdah bayar tiket hotel di salah satu apartemen milik reddorrz udah kelokasi jam 10 malem, cari2 apartemennya sumpah gak nemu sama sekali. Tanya2 satpam setiap blok, gak ada jugaaaa, sial jam 11 malem loh itu harus cari hotel lain, info di email konfirmasi booking juga gak jelas, gak ada rules harus telpon cs pagi2 dlu atau dikasih nomor hp pemilik apartemen, rugiiii bandar, duit gak bisa dibalikin. Pertama dan terakhir booking via ini.","NEGATIF"
"zahya mahrani","promo2nya masih sedikit untuk pembelian melalui app, khususnya utk pembelian ticket pesawat lion air atau wings air","NEGATIF"
"Febrian Pebz","Pesan tiket kereta api susahnya minta ampun...gangguan terus..kecewa banget","NEGATIF"
"Abdul Rahman Rianto","Saya pesan lewat pegipegi sudah bayar lunas namun setelah datang ke tempat pesanan pihak hotel/penginapan mengatakan tempat mereka full dan tidak ada kejelasan dari pihak pegipegi. CS pegipegi ketika ditelpon hanya.mengatakan laporan telah diterima namun tidak ada tindak lanjut hingga lagi","NEGATIF"
"kris tanto","Diskonya yg banyak min buat tiket keretanya ,sama servernya pas buat pesen dibikin strong biar ga lelet loadingnya","NEGATIF"
"Endang Tris","Akses cepat, dan memperbaharui dlm update juga baik, terima kasih pegi-pegi semoga sukses selalu, Aamiin","POSITIF"
