"Nama","Review",""
"irwan hidayat","Waktu bayar trlalu sdikit utk pesenan hotel kalo cuma 10 mnit",""
"Yhuli Mpena","Kurangnya tanggapan terkait pertanyaan customer yg kebingungan.. harap di perhatikan..trimkasih",""
"go.Tarot!","Sumpah ga jelas banget, cari tiket pesawat, harga didisplay sekian, pas di klik berubah, coba keluar, masuk lagi, harga berubah lagi, di klik berubah lagi, berubah2 terus, jadi yg bener harga yg mana?? ini aplikasi error atau gmn sih?",""
"oktafani nurbaiti","Duit refundnya kok gak keluar-keluar.. selalu memberi alasan dg ucapan bahwa maskapai belum mengirimkan uang ke pegi-pegi.. pelayanan sangat buruk sekali.. CS meminta kita untuk menunggu 30-45 hari namun tidak diberikan tanggal kepastian yang jelas.. Pernah melakukan tlp CS tetapi ketika saya lagi b...Ulasan LengkapDuit refundnya kok gak keluar-keluar.. selalu memberi alasan dg ucapan bahwa maskapai belum mengirimkan uang ke pegi-pegi.. pelayanan sangat buruk sekali.. CS meminta kita untuk menunggu 30-45 hari namun tidak diberikan tanggal kepastian yang jelas.. Pernah melakukan tlp CS tetapi ketika saya lagi berbicara malah dimatikan tlpnya.. terus bagaimana jika begini????? Saya siap menunggu jika jelas waktu yang di infokan..",""
"mohamad ridwan","Untuk pertama kali mencoba memesan tiket pesawat disini dan ternyat kecewa . Tidak rekomended. Pengembalian dana tidak jelas dan butuh waktu 3 bulan sedangkan market place lain 2 minggu dana kembali tanpa harus d hubungi. Ini udah berkali- kali di hubungi jawaban sama saja seperti robot yang kata-ka...Ulasan LengkapUntuk pertama kali mencoba memesan tiket pesawat disini dan ternyat kecewa . Tidak rekomended. Pengembalian dana tidak jelas dan butuh waktu 3 bulan sedangkan market place lain 2 minggu dana kembali tanpa harus d hubungi. Ini udah berkali- kali di hubungi jawaban sama saja seperti robot yang kata-katanya sudah tertera.. Cukup untuk pertama dan terakhir.",""
"CIPTO ADI KURNIAWAN","Sangat mengecewakan untuk kebijakan pengembalian pembatalan tiket pesawatnya jangan di samakan sama orang kaya di suruh menuunggu 1-3 bulan siap aja untuk orang menengah kebawah itu sangat berarti duitnya. Toh seandainya tidak ada covid 19 pasti terbang berhubung kondisi karena covid 19 kami merasa ...Ulasan LengkapSangat mengecewakan untuk kebijakan pengembalian pembatalan tiket pesawatnya jangan di samakan sama orang kaya di suruh menuunggu 1-3 bulan siap aja untuk orang menengah kebawah itu sangat berarti duitnya. Toh seandainya tidak ada covid 19 pasti terbang berhubung kondisi karena covid 19 kami merasa takut dan di tambahi dengan kebijakan pegipegi yang tidak bisa kami terima",""
"INFO MCI INDONESIA","Kecewa, untuk proses refund nya lama skali  , kalo hubungi cs juga paling di bilang proses 1 -3 bln  gak ada solusi",""
"amalia dewi nursyifa","MENGECEWAKAN. SAYA PESAN PENGINAPAN DI APARTEMENT, SUDAH DATANG DAN MAU CHECK IN JAM 14.00, EH MALAH PIHAK APARTEMENT TIDAK SIAP, SAYA DATANG JAUH JAUH JUSTRU DISURUH MENUNGGU SAMPAI MALAM?? ALASANNYA AKAN ADA RAZIA, PADAHAL SAYA TANYA PETUGAS GAK ADA AKAN ADA RAZIA. PEGI PEGI KOK MEMBIARKAN PENIPU ...Ulasan LengkapMENGECEWAKAN. SAYA PESAN PENGINAPAN DI APARTEMENT, SUDAH DATANG DAN MAU CHECK IN JAM 14.00, EH MALAH PIHAK APARTEMENT TIDAK SIAP, SAYA DATANG JAUH JAUH JUSTRU DISURUH MENUNGGU SAMPAI MALAM?? ALASANNYA AKAN ADA RAZIA, PADAHAL SAYA TANYA PETUGAS GAK ADA AKAN ADA RAZIA. PEGI PEGI KOK MEMBIARKAN PENIPU UNTUK BERBISNIS. hati hati !!!! TOLONG DONG PEGI PEGI BLOKIR ITU ZHI APARTEMENT ITU.",""
"iik","Saya ajukan refund tgl 12 april 2020 Sampai sekarang tgl 14 mei 2020 masih belum ada dana yg masuk ke rekening Padahal saudara ada yg pesan tiket lewat traveloka , proses refund dan dana kembali tidak sampe sebulan lebih seperti di pegi - pegi Kecewa banget No pesanan 12AUTE45A4D",""
"Nadia Nadia89","Saya sdh kapok beli tiket dpegi2 ,refund dgn keadaan covid sprti ini ,alasan proses maskapai, saya sdh TLP k maskapai Sdh refund dr maskapai ...tlg d jgn sprti itu sm kons ,& dananya akhrnya d balikin dptong 300 ribu , saya beli d apk sebelah dgn refund 100% full dbalikin . Intinya saya sdh kapok be...Ulasan LengkapSaya sdh kapok beli tiket dpegi2 ,refund dgn keadaan covid sprti ini ,alasan proses maskapai, saya sdh TLP k maskapai Sdh refund dr maskapai ...tlg d jgn sprti itu sm kons ,& dananya akhrnya d balikin dptong 300 ribu , saya beli d apk sebelah dgn refund 100% full dbalikin . Intinya saya sdh kapok beli disini",""
