"Nama","Review",""
"Nani Warniyati","Nani ini updatetannya goblok anjir anjing apa lagi SUSAH DI UPDATE ANJIR UDH DOWNLOAD DENGAN BENAR TP MASIH GA BISAAAAA udah ah yg penting gw udah apuuuuuùuuuuus ini TITIK!!",""
"Fery Rife","Applikasi payah...chat gak dibalas...call center pake pulsa...udah disuruh nungguin ujung""nya gak dapat tersambung lg...",""
"Mailani Tambunan","Refund kok lama banget peroses y dasar app yg lelet tolong dong itu tim y jangan lama dimasa seperti ini kalau emang gk bisa berangkat uang tiket y harus disegera dikembalaikan karna orang juga butuh uang.",""
"Nelsen Putra Jaya","minta tolong dibantu y proses refund saya. Soalny takut gak terproses. Cz limit waktu refund kemaskapainy kalo telat potongan lebih besar lagi, wa dan telpon ke cs gak ada yg respon udh 3 hari.🙏🏻",""
"Putri Rasikha Hamidah","Aplikasi jelek...refund sdh 1bln lebih g ada kejelasan",""
"Macher Yanti","Sangat mengecewakan ..untuk refund hotel sangat sulit Respon CS Wa juga berkali kali prtnyaannya sama.😀   .sekali ini aja pake app ini.trimakasih.",""
"Desi apriyana","Pelayanan lelet proses refund pun gak di ACC padahal udh dari jauh hari refund tiket pesawat nya saran saya jangan make aplikasi ini lagi sangat merugikan",""
"Official Keselek69","Utk refund pelaporan tgl 12maret awal bilang 14hari kerja sampai 30hari kerja sampai hari ini tidak ada yg jelas 13april sabtu minggu tidak di hitung tapi bilang tidak sampai 30hari kerja . Payah woy",""
"Ahmad Fahrudin","Kenapa proses refundnya sangat lama di tengah pandemi seperti ini, dan jawabannya selalu berbelit setiap di tanya",""
"Yatto Yatto","Sdh lewat 30 hari gimana dana refundx???",""
"Tomy Batseba","Kapok make aplikasi ini, refund nya LAMA...............................banget dari sebulan lalu Ampe skrg lom dibalikin",""
"Ander 868","Agak kecewa, refund tiket, potongannya sangat besar, slalu ambil keuntungan.",""
"Arif Rahman","Saya ingin mengajukan refund, di arahkan oleh cs nya ke menu my order, tapi setelah saya buka my order pesanan saya tidak ada bagai mana saya ingin melakukan refund, di wa selalu di abaikan",""
