"Nama","Review",""
"Agustine S","Mengecewakan saya sebagai konsumen tetap no reward sama sekali saya ingin melakukan cancel karena faktor alam bukan faktor manusia yg kita sendiri tau bencana besar diawal januari 2020 yg seharusnya ada kebijakan diluar aturan krn alasan yg kuat tapi tidak bisa dicancel sama sekali krn pemesanan hny...Ulasan LengkapMengecewakan saya sebagai konsumen tetap no reward sama sekali saya ingin melakukan cancel karena faktor alam bukan faktor manusia yg kita sendiri tau bencana besar diawal januari 2020 yg seharusnya ada kebijakan diluar aturan krn alasan yg kuat tapi tidak bisa dicancel sama sekali krn pemesanan hny bisa dilakukan dgn timer booking diharuskan dibayarkan saat itu jg tdk memakai cara pembayaran batasan waktu jeda yg wajar tdk seperti aplikasi tetangga sebelah msh ada batas kewajaran",""
"Suharni Harni","Saya mau tanya kenapa saya mengajukan playlater ditolak di apk traveloka padahal saya belom pernah mengajukan di apk ini.. Tolong di tutup datanya atas nama suharni.. Trimakasih",""
"Dewi Ayu Novikasari","Daftar pay later gagal terus padahal berpenghasilan dan sering transaksi di traveloka. Tanya alasan penolakan pengajuan pay later malah dijawab dengan jawaban umum, bukan inti dari alasan penolakannya karena apa. Teman saya yang tidak punya penghasilan malah disetujui pengajuannya. Mohon ditingkatka...Ulasan LengkapDaftar pay later gagal terus padahal berpenghasilan dan sering transaksi di traveloka. Tanya alasan penolakan pengajuan pay later malah dijawab dengan jawaban umum, bukan inti dari alasan penolakannya karena apa. Teman saya yang tidak punya penghasilan malah disetujui pengajuannya. Mohon ditingkatkan kembali.",""
"Tommy Indianto","Saya kecewa karena sudah satu minggu ini tdk bisa akses data transaksi, kesulitan mendapatkan receipt transaksi, bahkan sejak Sabtu ini tdk bisa akses inbox (no update inbox) padahal sudah mengirimkan setidaknya 10 complain ke CS Traveloka Sangat tidak profesional..",""
"Irma Yani","Lebih bnyk komen negatif..saya pun kdg merasakan hal yg sama...selalunya harga suka berubah..diwaktu kita sudah mau melakukan pembayaran",""
"sleeping gaming","Kenapa untuk ubah no hp verifikasi paylater harus ada pernyataan saya rasa cukup dengan menyebutkan email dan nama ibu kandung saja sama no lama dan no baru yg akan di masukkan",""
"Abdi Hendra","Ulasan banyak yg negatif, takut saya pesan di traveloka tiket pesawat. Padahal baru download. Maaf, saya kepaksa hapus lg",""
"regita agnestavia lukman","kesel mau ajuin pay later gak bisa2 di bagian foto ktp, udah seterang dan sejelas itu, namanya juga ektp lama2 fotonya gak se jelas banget pertama bikin ... informasi udh jelas banget",""
"Anugrah Rizqy","Bayar saat chek-in bener bisa atau gk ? Saya kok gk bisa dan harus verif paylater sedangkan paylater tdk di acc. Kok gk jelas ya ?",""
"Eka Cipta Wijaya","Voucher eats tdk bsa d verifikasi di restoran jika d redeem sndr padahal blm di pakai di restoran manapun. Artinya voucher tdk bsa di gift kan ke orang lain.",""
"Andi Ricky","Pesan kamar dengan pilihan Saat ini dan setelah transfer orderan berubah ke siang nanti, disuruh nunggu 1 jam buat konfirmasi ke pihak hotel yg kerjasama dengan OYO dan gak ada hasil. AUTO UNINSTALL",""
